Learning Rate: 0.01, Max Iterations: 100, Num Hidden Layers: 2,,,,,,,
Iteration,Set 1 Testing Logistic Accuracy,Set 1 Testing TanH Accuracy,Set 1 Testing ReLu Accuracy,Logistic Loss,TanH Loss,ReLu Loss,Set 1 Training Logistic Accuracy,Set 1 Training TanH Accuracy,set 1 Training ReLu Accuracy
31,0.69212963,0.69212963,0.719907407,0.746651078,0.832577949,0.604904499,0.702702703,0.702702703,0.728957529
32,0.69212963,0.69212963,0.710648148,0.728457582,0.832499574,0.600861208,0.702702703,0.702702703,0.728185328
33,0.69212963,0.69212963,0.724537037,0.713278584,0.832730028,0.597069353,0.702702703,0.702702703,0.732818533
34,0.69212963,0.69212963,0.724537037,0.70025251,0.832527342,0.594366722,0.702702703,0.702702703,0.72972973
35,0.69212963,0.69212963,0.726851852,0.688748506,0.832458384,0.591574874,0.702702703,0.702702703,0.732046332
36,0.69212963,0.69212963,0.722222222,0.680485758,0.832621124,0.589067769,0.702702703,0.702702703,0.737451737
37,0.69212963,0.69212963,0.729166667,0.671380743,0.832581063,0.58654633,0.702702703,0.702702703,0.73976834
38,0.696759259,0.69212963,0.731481481,0.663560975,0.832657111,0.586217922,0.70965251,0.702702703,0.740540541
39,0.696759259,0.69212963,0.726851852,0.655320131,0.832371876,0.583523925,0.714285714,0.702702703,0.740540541
40,0.736111111,0.69212963,0.733796296,0.650212205,0.832902589,0.580923855,0.727413127,0.702702703,0.742857143
41,0.733796296,0.69212963,0.733796296,0.642583179,0.832830281,0.578925173,0.727413127,0.702702703,0.742857143
42,0.736111111,0.69212963,0.733796296,0.637728293,0.832594462,0.577376174,0.744401544,0.702702703,0.742857143
43,0.736111111,0.69212963,0.736111111,0.632363345,0.832838567,0.576327054,0.746718147,0.702702703,0.743629344
44,0.747685185,0.69212963,0.733796296,0.628029384,0.832647142,0.574511888,0.756756757,0.702702703,0.742084942
45,0.747685185,0.69212963,0.743055556,0.623321837,0.83259953,0.572992462,0.754440154,0.702702703,0.744401544
46,0.761574074,0.69212963,0.743055556,0.619730861,0.832503806,0.571786859,0.757528958,0.702702703,0.742857143
47,0.752314815,0.69212963,0.747685185,0.615594302,0.832588889,0.568923092,0.752123552,0.702702703,0.750579151
48,0.761574074,0.69212963,0.736111111,0.615169565,0.83298559,0.568621905,0.759073359,0.702702703,0.745173745
49,0.768518519,0.69212963,0.75,0.611202063,0.832634453,0.565815332,0.763706564,0.702702703,0.748262548
50,0.75462963,0.69212963,0.752314815,0.60596124,0.8325849,0.565972479,0.754440154,0.702702703,0.748262548
51,0.773148148,0.69212963,0.733796296,0.604159535,0.832510206,0.562507152,0.763706564,0.702702703,0.747490347
52,0.766203704,0.69212963,0.752314815,0.601638125,0.832833579,0.561780701,0.765250965,0.702702703,0.746718147
53,0.761574074,0.69212963,0.75462963,0.599637359,0.83262109,0.561201688,0.762162162,0.702702703,0.750579151
54,0.780092593,0.69212963,0.75462963,0.596170301,0.832509439,0.5584696,0.763706564,0.702702703,0.746718147
55,0.761574074,0.69212963,0.759259259,0.593520612,0.832568703,0.557093387,0.764478764,0.702702703,0.748262548
56,0.775462963,0.69212963,0.75462963,0.592158184,0.832600948,0.555703499,0.766795367,0.702702703,0.749034749
57,0.777777778,0.69212963,0.756944444,0.589836197,0.83247693,0.556294875,0.766795367,0.702702703,0.74980695
58,0.782407407,0.69212963,0.756944444,0.587391248,0.832437738,0.552672504,0.766795367,0.702702703,0.752123552
59,0.780092593,0.69212963,0.756944444,0.5853317,0.832506827,0.551666441,0.767567568,0.702702703,0.751351351
60,0.780092593,0.69212963,0.743055556,0.583424244,0.83249954,0.549911523,0.766795367,0.702702703,0.74980695
61,0.782407407,0.69212963,0.766203704,0.5829725,0.832445345,0.54964605,0.766795367,0.702702703,0.757528958
62,0.780092593,0.69212963,0.747685185,0.579948519,0.83271483,0.546751306,0.766023166,0.702702703,0.74980695
63,0.782407407,0.69212963,0.761574074,0.578509106,0.832582823,0.545588944,0.767567568,0.702702703,0.756756757
64,0.784722222,0.69212963,0.747685185,0.577016679,0.832560011,0.543901644,0.765250965,0.702702703,0.752123552
65,0.777777778,0.69212963,0.756944444,0.575475587,0.832744222,0.542712783,0.766795367,0.702702703,0.754440154
66,0.782407407,0.69212963,0.761574074,0.573573777,0.832506706,0.540784509,0.766023166,0.702702703,0.757528958
67,0.782407407,0.69212963,0.759259259,0.571935835,0.832542172,0.539404462,0.765250965,0.702702703,0.755984556
68,0.780092593,0.69212963,0.752314815,0.569558612,0.832687339,0.538555627,0.767567568,0.702702703,0.755984556
69,0.782407407,0.69212963,0.752314815,0.568436342,0.83261249,0.537072472,0.767567568,0.702702703,0.755212355
70,0.784722222,0.69212963,0.770833333,0.566498007,0.83260731,0.534231031,0.764478764,0.702702703,0.760617761
71,0.780092593,0.69212963,0.756944444,0.565739923,0.832694036,0.534717881,0.766795367,0.702702703,0.755212355
72,0.780092593,0.69212963,0.756944444,0.564354005,0.833013029,0.533274932,0.766795367,0.702702703,0.75984556
73,0.787037037,0.69212963,0.75462963,0.562238114,0.832553762,0.531006716,0.766023166,0.702702703,0.758301158
74,0.780092593,0.69212963,0.761574074,0.562397957,0.832524777,0.530959466,0.766023166,0.702702703,0.758301158
75,0.787037037,0.69212963,0.759259259,0.559850564,0.832620346,0.528286169,0.762934363,0.702702703,0.757528958
76,0.780092593,0.69212963,0.759259259,0.562089482,0.832570338,0.525891837,0.766023166,0.702702703,0.75984556
77,0.787037037,0.69212963,0.761574074,0.559536382,0.832529637,0.524953352,0.766023166,0.702702703,0.75984556
78,0.780092593,0.69212963,0.759259259,0.556226286,0.832483299,0.522842285,0.766023166,0.702702703,0.760617761
79,0.787037037,0.69212963,0.759259259,0.554022154,0.832777245,0.521898732,0.762934363,0.702702703,0.760617761
80,0.787037037,0.69212963,0.766203704,0.552309515,0.832765174,0.519761058,0.763706564,0.702702703,0.755984556
81,0.780092593,0.69212963,0.766203704,0.55078034,0.8326126,0.519193475,0.768339768,0.702702703,0.75984556
82,0.787037037,0.69212963,0.766203704,0.551589984,0.832560319,0.5167839,0.766023166,0.702702703,0.755984556
83,0.791666667,0.69212963,0.766203704,0.548219125,0.832689234,0.516557577,0.760617761,0.702702703,0.755212355
84,0.780092593,0.69212963,0.759259259,0.547799178,0.832445349,0.514196146,0.769111969,0.702702703,0.758301158
85,0.787037037,0.69212963,0.780092593,0.547733403,0.832428518,0.512994501,0.763706564,0.702702703,0.771428571
86,0.780092593,0.69212963,0.770833333,0.544964302,0.832752541,0.51294797,0.769111969,0.702702703,0.763706564
87,0.789351852,0.69212963,0.775462963,0.547200706,0.832534146,0.51139102,0.763706564,0.702702703,0.764478764
88,0.780092593,0.69212963,0.768518519,0.542021001,0.832612014,0.509449487,0.770656371,0.702702703,0.764478764
89,0.787037037,0.69212963,0.777777778,0.541238736,0.832858749,0.508666101,0.761389961,0.702702703,0.765250965
90,0.787037037,0.69212963,0.777777778,0.539812397,0.832473086,0.50735231,0.764478764,0.702702703,0.769111969
91,0.787037037,0.69212963,0.777777778,0.541688672,0.832657448,0.506779289,0.765250965,0.702702703,0.770656371
92,0.787037037,0.69212963,0.770833333,0.538363322,0.832463121,0.507868433,0.760617761,0.702702703,0.766795367
93,0.784722222,0.69212963,0.780092593,0.537802717,0.832489332,0.504907784,0.767567568,0.702702703,0.771428571
94,0.784722222,0.69212963,0.782407407,0.536972993,0.832530934,0.504499028,0.759073359,0.702702703,0.768339768
95,0.780092593,0.69212963,0.775462963,0.534043658,0.832543321,0.503906755,0.772200772,0.702702703,0.765250965
96,0.784722222,0.69212963,0.780092593,0.533461893,0.832521308,0.502128935,0.758301158,0.702702703,0.772200772
97,0.787037037,0.69212963,0.787037037,0.532620816,0.83269098,0.502244337,0.766023166,0.702702703,0.767567568
98,0.787037037,0.69212963,0.768518519,0.532019468,0.832989777,0.503452592,0.760617761,0.702702703,0.76988417
99,0.782407407,0.69212963,0.787037037,0.529719181,0.832451969,0.500425808,0.772972973,0.702702703,0.768339768
100,0.787037037,0.69212963,0.789351852,0.529942033,0.832467584,0.499686072,0.766795367,0.702702703,0.767567568
101,0.787037037,0.69212963,0.787037037,0.528246851,0.832600574,0.498748696,0.766795367,0.702702703,0.76988417
102,0.784722222,0.69212963,0.787037037,0.530669097,0.832373229,0.496561887,0.756756757,0.702702703,0.76988417
103,0.787037037,0.69212963,0.791666667,0.526183969,0.83275706,0.496135739,0.771428571,0.702702703,0.76988417
104,0.787037037,0.69212963,0.791666667,0.525890638,0.832702934,0.496269788,0.767567568,0.702702703,0.766795367
105,0.782407407,0.69212963,0.789351852,0.525180424,0.832498257,0.494959065,0.757528958,0.702702703,0.769111969
106,0.789351852,0.69212963,0.787037037,0.526292286,0.832616998,0.494484417,0.775289575,0.702702703,0.772200772
107,0.798611111,0.69212963,0.791666667,0.52516949,0.832680146,0.496077234,0.768339768,0.702702703,0.767567568
108,0.784722222,0.69212963,0.791666667,0.520552846,0.832667982,0.495322359,0.776061776,0.702702703,0.767567568
109,0.782407407,0.69212963,0.782407407,0.522741282,0.832506364,0.494243658,0.759073359,0.702702703,0.776061776
110,0.787037037,0.69212963,0.787037037,0.52094546,0.832660581,0.494560205,0.766795367,0.702702703,0.768339768
111,0.782407407,0.69212963,0.780092593,0.520999508,0.832569542,0.491404661,0.764478764,0.702702703,0.776061776
112,0.782407407,0.69212963,0.784722222,0.520904829,0.832597855,0.493995042,0.760617761,0.702702703,0.767567568
113,0.796296296,0.69212963,0.775462963,0.522706354,0.832908289,0.491177599,0.776833977,0.702702703,0.776061776
114,0.791666667,0.69212963,0.787037037,0.522663588,0.832692539,0.492719657,0.767567568,0.702702703,0.767567568
115,0.796296296,0.69212963,0.789351852,0.5197668,0.833163871,0.489386116,0.777606178,0.702702703,0.773745174
116,0.784722222,0.69212963,0.791666667,0.515138874,0.832621804,0.488925709,0.75984556,0.702702703,0.767567568
117,0.782407407,0.69212963,0.784722222,0.515426586,0.832552158,0.489326237,0.760617761,0.702702703,0.767567568
118,0.796296296,0.69212963,0.780092593,0.512982901,0.832459212,0.488312013,0.776833977,0.702702703,0.775289575
119,0.787037037,0.69212963,0.789351852,0.513652974,0.832496024,0.486963087,0.762934363,0.702702703,0.768339768
120,0.784722222,0.69212963,0.787037037,0.51492556,0.832474219,0.488914159,0.760617761,0.702702703,0.769111969
121,0.796296296,0.69212963,0.791666667,0.512898204,0.832722932,0.486329775,0.777606178,0.702702703,0.769111969
122,0.791666667,0.69212963,0.789351852,0.511528567,0.832512061,0.486060868,0.768339768,0.702702703,0.771428571
123,0.796296296,0.69212963,0.787037037,0.510838742,0.832522974,0.4847278,0.776061776,0.702702703,0.76988417
124,0.789351852,0.69212963,0.787037037,0.509439735,0.832474862,0.486970225,0.762162162,0.702702703,0.76988417
125,0.791666667,0.69212963,0.780092593,0.50979441,0.83253081,0.489693673,0.762934363,0.702702703,0.774517375
126,0.784722222,0.69212963,0.791666667,0.508025977,0.83251345,0.49774479,0.765250965,0.702702703,0.770656371
127,0.787037037,0.69212963,0.780092593,0.507628411,0.832544261,0.49091236,0.762934363,0.702702703,0.775289575
128,0.787037037,0.69212963,0.787037037,0.506578329,0.832561202,0.485612878,0.764478764,0.702702703,0.771428571
129,0.787037037,0.69212963,0.787037037,0.506294947,0.832474013,0.482998338,0.766023166,0.702702703,0.775289575
130,0.787037037,0.69212963,0.791666667,0.506767515,0.832544992,0.48225316,0.767567568,0.702702703,0.76988417
131,0.793981481,0.69212963,0.791666667,0.505658414,0.832598738,0.482024975,0.767567568,0.702702703,0.771428571
132,0.793981481,0.69212963,0.789351852,0.504894025,0.832404854,0.484467404,0.772972973,0.702702703,0.772200772
133,0.793981481,0.69212963,0.789351852,0.504255722,0.832919036,0.482446197,0.765250965,0.702702703,0.770656371
134,0.787037037,0.69212963,0.789351852,0.504239222,0.832569891,0.482469747,0.764478764,0.702702703,0.772972973
135,0.793981481,0.69212963,0.782407407,0.506766984,0.832531164,0.480938495,0.771428571,0.702702703,0.776833977
136,0.796296296,0.69212963,0.787037037,0.502251672,0.832623805,0.483041364,0.772972973,0.702702703,0.772972973
137,0.791666667,0.69212963,0.784722222,0.503486114,0.832499377,0.480707204,0.776833977,0.702702703,0.773745174
138,0.793981481,0.69212963,0.787037037,0.501853075,0.832598748,0.478816265,0.770656371,0.702702703,0.772972973
139,0.789351852,0.69212963,0.780092593,0.500611628,0.832383116,0.478852094,0.770656371,0.702702703,0.776833977
140,0.791666667,0.69212963,0.784722222,0.500736031,0.83249848,0.479940008,0.770656371,0.702702703,0.773745174
141,0.791666667,0.69212963,0.791666667,0.500753007,0.832622933,0.478372561,0.767567568,0.702702703,0.772200772
142,0.789351852,0.69212963,0.782407407,0.500110623,0.832489989,0.477718557,0.773745174,0.702702703,0.776833977
143,0.796296296,0.69212963,0.791666667,0.497718404,0.832474459,0.478852783,0.770656371,0.702702703,0.772972973
144,0.791666667,0.69212963,0.789351852,0.498846552,0.832553215,0.477457812,0.770656371,0.702702703,0.772200772
145,0.789351852,0.69212963,0.791666667,0.497301876,0.83257998,0.479594385,0.769111969,0.702702703,0.774517375
146,0.791666667,0.69212963,0.791666667,0.496813063,0.832804368,0.481406155,0.768339768,0.702702703,0.773745174
147,0.789351852,0.69212963,0.789351852,0.496670699,0.832779274,0.477053011,0.76988417,0.702702703,0.772200772
148,0.793981481,0.69212963,0.791666667,0.496056327,0.832488575,0.47824482,0.770656371,0.702702703,0.773745174
149,0.789351852,0.69212963,0.791666667,0.498700514,0.83247376,0.47685298,0.770656371,0.702702703,0.771428571
150,0.793981481,0.69212963,0.787037037,0.495148769,0.832480303,0.476769449,0.772200772,0.702702703,0.772972973
151,0.793981481,0.69212963,0.789351852,0.496398123,0.83285712,0.475273035,0.771428571,0.702702703,0.772200772
152,0.793981481,0.69212963,0.791666667,0.495827925,0.832692063,0.475843843,0.770656371,0.702702703,0.773745174
153,0.798611111,0.69212963,0.789351852,0.495142753,0.833089315,0.475958629,0.772200772,0.702702703,0.772200772
154,0.787037037,0.69212963,0.791666667,0.495388409,0.832302871,0.475913052,0.776061776,0.702702703,0.772972973
155,0.796296296,0.69212963,0.780092593,0.494401537,0.833221341,0.481033854,0.772972973,0.702702703,0.775289575
156,0.791666667,0.69212963,0.789351852,0.4923374,0.832752594,0.479358686,0.772972973,0.702702703,0.772972973
157,0.791666667,0.69212963,0.782407407,0.493202428,0.832616928,0.477694249,0.76988417,0.702702703,0.774517375
158,0.791666667,0.69212963,0.784722222,0.491631346,0.832744025,0.473568793,0.772972973,0.702702703,0.772972973
159,0.789351852,0.69212963,0.791666667,0.491581712,0.832445322,0.473995561,0.774517375,0.702702703,0.773745174
160,0.791666667,0.69212963,0.787037037,0.491385557,0.832744078,0.475006181,0.774517375,0.702702703,0.774517375
161,0.793981481,0.69212963,0.789351852,0.491200338,0.832501745,0.473233684,0.772972973,0.702702703,0.773745174
162,0.796296296,0.69212963,0.791666667,0.491264199,0.832339293,0.472994964,0.771428571,0.702702703,0.774517375
163,0.793981481,0.69212963,0.793981481,0.490985949,0.832612857,0.472837293,0.775289575,0.702702703,0.774517375
164,0.803240741,0.69212963,0.789351852,0.490210884,0.832791405,0.473223854,0.774517375,0.702702703,0.774517375
165,0.791666667,0.69212963,0.789351852,0.490046664,0.832616262,0.47349893,0.775289575,0.702702703,0.771428571
166,0.793981481,0.756944444,0.791666667,0.488949105,0.800740081,0.473982404,0.773745174,0.746718147,0.772200772
167,0.793981481,0.780092593,0.789351852,0.488662061,0.744820927,0.47192908,0.772200772,0.760617761,0.772200772
168,0.796296296,0.743055556,0.789351852,0.488405224,0.675616486,0.470495326,0.772200772,0.747490347,0.772200772
169,0.791666667,0.773148148,0.789351852,0.487299657,0.638191803,0.470425887,0.776061776,0.771428571,0.772200772
170,0.796296296,0.803240741,0.789351852,0.488468325,0.607893539,0.470117292,0.772972973,0.782239382,0.773745174
171,0.793981481,0.768518519,0.789351852,0.488231306,0.592385544,0.470808528,0.772972973,0.769111969,0.773745174
172,0.791666667,0.791666667,0.789351852,0.487988506,0.574281651,0.470018569,0.775289575,0.778378378,0.773745174
173,0.800925926,0.766203704,0.784722222,0.487219484,0.569614703,0.469579958,0.772200772,0.777606178,0.772200772
174,0.791666667,0.803240741,0.789351852,0.486262548,0.561813196,0.469423383,0.773745174,0.783011583,0.773745174
175,0.791666667,0.796296296,0.784722222,0.487020724,0.550197938,0.469486288,0.774517375,0.784555985,0.770656371
176,0.800925926,0.803240741,0.787037037,0.48565364,0.547712696,0.468633491,0.773745174,0.793050193,0.774517375
177,0.798611111,0.798611111,0.789351852,0.485348162,0.541726221,0.469775078,0.773745174,0.78996139,0.772972973
178,0.798611111,0.805555556,0.787037037,0.485908998,0.538814666,0.469774721,0.772972973,0.78996139,0.772972973
179,0.796296296,0.798611111,0.784722222,0.484530319,0.538070094,0.468099411,0.772972973,0.78996139,0.770656371
180,0.796296296,0.805555556,0.784722222,0.484374148,0.53512063,0.468527469,0.772972973,0.789189189,0.772972973
181,0.798611111,0.798611111,0.787037037,0.485500233,0.533155699,0.468012841,0.773745174,0.790733591,0.774517375
182,0.791666667,0.798611111,0.784722222,0.48354684,0.533556143,0.468100675,0.773745174,0.791505792,0.772972973
183,0.791666667,0.805555556,0.787037037,0.48440817,0.530638239,0.467404797,0.774517375,0.78996139,0.774517375
184,0.791666667,0.800925926,0.793981481,0.4847496,0.530443893,0.468598205,0.774517375,0.789189189,0.774517375
185,0.800925926,0.793981481,0.787037037,0.483038935,0.529670485,0.467185249,0.774517375,0.786872587,0.772200772
186,0.791666667,0.80787037,0.780092593,0.482690224,0.52695285,0.467171279,0.775289575,0.783011583,0.774517375
187,0.793981481,0.782407407,0.787037037,0.483172424,0.526177535,0.46728249,0.774517375,0.783011583,0.774517375
188,0.796296296,0.80787037,0.796296296,0.482190795,0.528144536,0.466908319,0.774517375,0.782239382,0.775289575
189,0.791666667,0.787037037,0.787037037,0.481980851,0.527015881,0.467774461,0.776061776,0.782239382,0.772972973
190,0.800925926,0.810185185,0.791666667,0.482072733,0.525093867,0.468434258,0.775289575,0.786100386,0.774517375
191,0.789351852,0.789351852,0.784722222,0.48314136,0.518591776,0.465699104,0.776833977,0.783783784,0.773745174
192,0.803240741,0.796296296,0.791666667,0.486035893,0.520481555,0.465725494,0.775289575,0.786100386,0.774517375
193,0.798611111,0.793981481,0.787037037,0.482314573,0.517750965,0.466078576,0.774517375,0.784555985,0.773745174
194,0.796296296,0.796296296,0.791666667,0.480926187,0.516300061,0.466114929,0.775289575,0.786100386,0.775289575
195,0.793981481,0.805555556,0.784722222,0.480492792,0.515533453,0.467999029,0.774517375,0.786872587,0.772200772
196,0.803240741,0.796296296,0.787037037,0.480980535,0.515264099,0.465624725,0.772972973,0.786872587,0.774517375
197,0.803240741,0.805555556,0.800925926,0.480040019,0.515019814,0.466061026,0.772972973,0.786100386,0.795366795
198,0.793981481,0.791666667,0.80787037,0.480052885,0.51495411,0.466244049,0.776061776,0.781467181,0.796911197
199,0.796296296,0.803240741,0.814814815,0.479921351,0.512561861,0.467273156,0.775289575,0.786872587,0.793050193
Learning Rate: 0.01, Max Iterations: 200, Num Hidden Layers: 3,,,,,,,
Iteration,Set 4 Testing Logistic Accuracy,Set 4 Testing TanH Accuracy,Set 4 Testing ReLu Accuracy,Logistic Loss,TanH Loss,ReLu Loss,Set 4 Training Logistic Accuracy,Set 4 Training TanH Accuracy,set 4 Training ReLu Accuracy
0,0.668981481,0.203703704,0.034722222,1.348420811,1.715880143,1.785501387,0.68957529,0.173745174,0.038610039
1,0.68287037,0.655092593,0.034722222,1.211584017,1.293423912,1.705287094,0.705791506,0.68030888,0.038610039
2,0.68287037,0.68287037,0.034722222,1.129668075,1.02666072,1.630052102,0.705791506,0.705791506,0.038610039
3,0.68287037,0.68287037,0.034722222,1.052928169,0.90928988,1.557934143,0.705791506,0.705791506,0.038610039
4,0.68287037,0.680555556,0.034722222,0.980759197,0.847875106,1.488833302,0.705791506,0.705791506,0.038610039
5,0.68287037,0.680555556,0.034722222,0.909969533,0.77720409,1.423647895,0.705791506,0.705791506,0.038610039
6,0.68287037,0.673611111,0.034722222,0.865830627,0.728737023,1.363676097,0.705791506,0.701930502,0.038610039
7,0.68287037,0.678240741,0.034722222,0.845661225,0.719307698,1.308327881,0.705791506,0.697297297,0.038610039
8,0.68287037,0.671296296,0.678240741,0.839644055,0.703419132,1.255678786,0.705791506,0.703474903,0.711969112
9,0.68287037,0.673611111,0.68287037,0.837538602,0.688316475,1.206765505,0.705791506,0.702702703,0.701158301
10,0.68287037,0.680555556,0.6875,0.837018251,0.677421983,1.16097768,0.705791506,0.703474903,0.714285714
11,0.68287037,0.680555556,0.701388889,0.836781967,0.666165259,1.116200373,0.705791506,0.701930502,0.708880309
12,0.68287037,0.68287037,0.703703704,0.836768974,0.657270378,1.077788325,0.705791506,0.705791506,0.715057915
13,0.68287037,0.69212963,0.701388889,0.837059124,0.648384622,1.040753568,0.705791506,0.711196911,0.713513514
14,0.68287037,0.689814815,0.710648148,0.836278587,0.640884589,1.010040156,0.705791506,0.715057915,0.713513514
15,0.68287037,0.696759259,0.706018519,0.836299745,0.63428152,0.980996699,0.705791506,0.728957529,0.714285714
16,0.68287037,0.696759259,0.703703704,0.836010926,0.628143827,0.952871918,0.705791506,0.732046332,0.715057915
17,0.68287037,0.706018519,0.703703704,0.835626036,0.622997806,0.927185064,0.705791506,0.732818533,0.716602317
18,0.68287037,0.715277778,0.715277778,0.83521611,0.618110176,0.903400192,0.705791506,0.737451737,0.732046332
19,0.68287037,0.712962963,0.722222222,0.834660283,0.615225493,0.882056718,0.705791506,0.743629344,0.732046332
20,0.68287037,0.719907407,0.719907407,0.833699794,0.611232351,0.857738679,0.705791506,0.73976834,0.735907336
21,0.68287037,0.724537037,0.717592593,0.832038599,0.606472717,0.835016046,0.705791506,0.745945946,0.744401544
22,0.68287037,0.722222222,0.729166667,0.82926728,0.604235939,0.815003403,0.705791506,0.742084942,0.755984556
23,0.68287037,0.719907407,0.729166667,0.82433197,0.60283552,0.796159366,0.705791506,0.742857143,0.762934363
24,0.68287037,0.724537037,0.726851852,0.816960998,0.597689805,0.781128202,0.705791506,0.755212355,0.750579151
25,0.68287037,0.726851852,0.747685185,0.806349176,0.595712108,0.767700547,0.705791506,0.749034749,0.783011583
26,0.68287037,0.726851852,0.726851852,0.793839404,0.592806043,0.749787017,0.705791506,0.752895753,0.75984556
27,0.68287037,0.726851852,0.743055556,0.77747772,0.592305754,0.736463432,0.705791506,0.753667954,0.776833977
28,0.68287037,0.729166667,0.743055556,0.759698773,0.588532848,0.725977265,0.705791506,0.754440154,0.777606178
29,0.68287037,0.726851852,0.738425926,0.742172911,0.586664687,0.71390586,0.705791506,0.755984556,0.768339768
30,0.68287037,0.729166667,0.738425926,0.725266099,0.584272714,0.704416259,0.705791506,0.758301158,0.781467181
31,0.68287037,0.729166667,0.743055556,0.70944745,0.582742225,0.696885841,0.705791506,0.758301158,0.781467181
32,0.68287037,0.724537037,0.736111111,0.695023716,0.580597206,0.684790919,0.705791506,0.761389961,0.780694981
33,0.68287037,0.729166667,0.743055556,0.681788807,0.578439882,0.678732784,0.705791506,0.75984556,0.775289575
34,0.680555556,0.726851852,0.743055556,0.671876578,0.577450298,0.671595083,0.705791506,0.763706564,0.782239382
35,0.69212963,0.729166667,0.747685185,0.660324292,0.575068772,0.665433826,0.715057915,0.762162162,0.780694981
36,0.699074074,0.733796296,0.743055556,0.651933499,0.57275972,0.65696269,0.718146718,0.765250965,0.783783784
37,0.703703704,0.731481481,0.74537037,0.644771546,0.571827265,0.651450834,0.725868726,0.763706564,0.783011583
38,0.731481481,0.731481481,0.747685185,0.636098164,0.569508741,0.647190595,0.748262548,0.768339768,0.783783784
39,0.726851852,0.731481481,0.733796296,0.631304646,0.569257723,0.640022597,0.746718147,0.764478764,0.779150579
40,0.733796296,0.736111111,0.74537037,0.625525425,0.567190861,0.634602036,0.751351351,0.766795367,0.786100386
41,0.738425926,0.736111111,0.733796296,0.620419312,0.564032676,0.630436925,0.757528958,0.770656371,0.782239382
42,0.738425926,0.736111111,0.74537037,0.614784598,0.562548953,0.626725588,0.751351351,0.76988417,0.784555985
43,0.731481481,0.736111111,0.747685185,0.611544904,0.561122655,0.620526607,0.763706564,0.771428571,0.783011583
44,0.736111111,0.736111111,0.74537037,0.607693086,0.55887115,0.616816715,0.762162162,0.772972973,0.783011583
45,0.740740741,0.736111111,0.759259259,0.60386007,0.557236414,0.610906716,0.771428571,0.772972973,0.786100386
46,0.743055556,0.736111111,0.733796296,0.599254112,0.556072719,0.609888662,0.763706564,0.775289575,0.782239382
47,0.743055556,0.733796296,0.75,0.597933914,0.553476507,0.605999826,0.769111969,0.776833977,0.783783784
48,0.740740741,0.733796296,0.747685185,0.592786334,0.552715126,0.602243344,0.781467181,0.777606178,0.785328185
49,0.740740741,0.733796296,0.733796296,0.589721799,0.550728845,0.600670605,0.764478764,0.776833977,0.783783784
50,0.736111111,0.740740741,0.759259259,0.591825476,0.551403852,0.594489221,0.780694981,0.776833977,0.786100386
51,0.736111111,0.736111111,0.736111111,0.585728415,0.551981143,0.591803504,0.784555985,0.77992278,0.781467181
52,0.743055556,0.740740741,0.756944444,0.581730015,0.548350686,0.592342196,0.775289575,0.779150579,0.78996139
53,0.747685185,0.738425926,0.736111111,0.577770311,0.54284147,0.588150125,0.783783784,0.773745174,0.784555985
54,0.74537037,0.75,0.763888889,0.574592297,0.543295761,0.582429829,0.784555985,0.77992278,0.78996139
55,0.743055556,0.740740741,0.733796296,0.569633916,0.542388518,0.5809107,0.777606178,0.780694981,0.782239382
56,0.743055556,0.736111111,0.752314815,0.566385189,0.54108308,0.578597735,0.784555985,0.782239382,0.786872587
57,0.743055556,0.747685185,0.74537037,0.562065031,0.538566605,0.575523455,0.786872587,0.77992278,0.788416988
58,0.75,0.743055556,0.733796296,0.559040412,0.535058682,0.574343693,0.787644788,0.775289575,0.781467181
59,0.743055556,0.752314815,0.75462963,0.553697952,0.533747799,0.574432936,0.783783784,0.780694981,0.789189189
60,0.761574074,0.743055556,0.738425926,0.54964775,0.533102974,0.5686778,0.783783784,0.782239382,0.784555985
61,0.743055556,0.743055556,0.756944444,0.544441791,0.530557525,0.568645937,0.78996139,0.783783784,0.788416988
62,0.761574074,0.74537037,0.747685185,0.539289473,0.529240649,0.566092202,0.787644788,0.783011583,0.789189189
63,0.75,0.74537037,0.740740741,0.533638338,0.527900549,0.564405263,0.795366795,0.783011583,0.786872587
64,0.768518519,0.74537037,0.759259259,0.528525016,0.531738261,0.561760292,0.793050193,0.783783784,0.78996139
65,0.761574074,0.752314815,0.743055556,0.52324143,0.532552875,0.561016766,0.800772201,0.780694981,0.787644788
66,0.775462963,0.75462963,0.768518519,0.519462876,0.527851753,0.55914538,0.801544402,0.781467181,0.78996139
67,0.782407407,0.747685185,0.74537037,0.515261946,0.521744192,0.556713317,0.803861004,0.782239382,0.790733591
68,0.775462963,0.752314815,0.761574074,0.51523272,0.521668723,0.553912567,0.807722008,0.783011583,0.789189189
69,0.782407407,0.75,0.740740741,0.506445157,0.524327653,0.555421618,0.807722008,0.781467181,0.787644788
70,0.770833333,0.75,0.770833333,0.503801746,0.524550299,0.554236118,0.811583012,0.785328185,0.789189189
71,0.784722222,0.747685185,0.738425926,0.497472328,0.516880285,0.551004346,0.813127413,0.783783784,0.780694981
72,0.777777778,0.75,0.775462963,0.49349916,0.518402864,0.551480012,0.811583012,0.782239382,0.789189189
73,0.784722222,0.759259259,0.74537037,0.489759284,0.520414096,0.550704484,0.818532819,0.779150579,0.787644788
74,0.789351852,0.747685185,0.75462963,0.483977807,0.515844882,0.548678734,0.818532819,0.782239382,0.790733591
