Learning Rate: 0.01, Max Iterations: 100, Num Hidden Layers: 2,,,,,,,
Iteration,Set 1 Testing Logistic Accuracy,Set 1 Testing TanH Accuracy,Set 1 Testing ReLu Accuracy,Logistic Loss,TanH Loss,ReLu Loss,Set 1 Training Logistic Accuracy,Set 1 Training TanH Accuracy,set 1 Training ReLu Accuracy
54,0.782407407,0.775462963,0.736111111,0.614325717,0.559497968,0.535119762,0.761389961,0.774517375,0.732818533
55,0.782407407,0.770833333,0.736111111,0.612737418,0.558385984,0.533493125,0.761389961,0.777606178,0.735907336
56,0.782407407,0.775462963,0.740740741,0.612082922,0.55868621,0.531632887,0.762162162,0.776833977,0.736679537
57,0.780092593,0.773148148,0.747685185,0.610602176,0.555304695,0.529980177,0.767567568,0.779150579,0.736679537
58,0.775462963,0.775462963,0.74537037,0.609606651,0.552290198,0.527146892,0.764478764,0.777606178,0.734362934
59,0.782407407,0.775462963,0.74537037,0.607052743,0.556484688,0.52686298,0.767567568,0.779150579,0.737451737
60,0.787037037,0.777777778,0.752314815,0.605639618,0.55530058,0.525262834,0.762934363,0.776833977,0.738996139
61,0.782407407,0.775462963,0.75462963,0.604179727,0.551844818,0.521797344,0.765250965,0.776061776,0.738996139
62,0.782407407,0.775462963,0.756944444,0.603278166,0.547956652,0.520376917,0.766023166,0.776833977,0.741312741
63,0.780092593,0.775462963,0.75,0.602213361,0.544751043,0.517829271,0.766795367,0.776833977,0.738996139
64,0.780092593,0.777777778,0.761574074,0.600817563,0.543798128,0.51711484,0.765250965,0.780694981,0.741312741
65,0.784722222,0.773148148,0.763888889,0.598833462,0.542051218,0.515379131,0.764478764,0.774517375,0.744401544
66,0.784722222,0.777777778,0.763888889,0.598745807,0.54113336,0.513990429,0.766795367,0.77992278,0.742857143
67,0.780092593,0.775462963,0.763888889,0.596846786,0.539273,0.511868916,0.767567568,0.776833977,0.745173745
68,0.780092593,0.777777778,0.763888889,0.595399204,0.539490946,0.510400523,0.767567568,0.77992278,0.748262548
69,0.780092593,0.775462963,0.761574074,0.59494951,0.538084659,0.509947353,0.768339768,0.775289575,0.745173745
70,0.782407407,0.775462963,0.766203704,0.594644773,0.536611457,0.509668934,0.765250965,0.775289575,0.751351351
71,0.777777778,0.782407407,0.763888889,0.591710036,0.536104409,0.50500696,0.771428571,0.778378378,0.748262548
72,0.782407407,0.775462963,0.770833333,0.590996132,0.535051086,0.502940107,0.765250965,0.776061776,0.753667954
73,0.780092593,0.777777778,0.768518519,0.591415972,0.53469771,0.501735052,0.766795367,0.776061776,0.752895753
74,0.777777778,0.777777778,0.768518519,0.59051348,0.531860811,0.500206971,0.772200772,0.776061776,0.752123552
75,0.782407407,0.784722222,0.770833333,0.587841605,0.52955447,0.497593755,0.766795367,0.778378378,0.761389961
76,0.773148148,0.782407407,0.770833333,0.586690152,0.528594314,0.497585813,0.770656371,0.779150579,0.755984556
77,0.773148148,0.787037037,0.770833333,0.585422294,0.528269535,0.495436681,0.76988417,0.77992278,0.756756757
78,0.775462963,0.780092593,0.768518519,0.584663326,0.526991509,0.49348366,0.765250965,0.776833977,0.762162162
79,0.780092593,0.784722222,0.770833333,0.584768252,0.525986881,0.49246692,0.766795367,0.779150579,0.762162162
80,0.773148148,0.789351852,0.770833333,0.582322121,0.527679016,0.491469167,0.771428571,0.77992278,0.761389961
